stars,comment
5.0 out of 5 stars,"









  
  
    
  The Nintendo Switch is a great game system. The screen is nice and large making gameplay so much more enjoyable. My son's favorite feature of the Switch is the fact that it can be hooked up to the TV AND he can bring it with him on car rides. I definitely recommend this product! Love Nintendo!

  
"
5.0 out of 5 stars,"









  
  
    
  Product is great and as advertised. It was a week late even though I paid extra, but all in all I'm happy.

  
"
5.0 out of 5 stars,"









  
  
    
  Arrived quickly and easy to set up! Cant wait to play

  
"
5.0 out of 5 stars,"









  
  
    
  Gift for my daughter! She absolutely loved it!

  
"
5.0 out of 5 stars,"









  
  
    
  All my grandson wanted for Christmas.  He loves it!!

  
"
5.0 out of 5 stars,"









  
  
    
  Such a wonderful gift to myself and my boyfriend 10/10 dependable and sturdy console from Nintendo.

  
"
5.0 out of 5 stars,"









  
  
    
  Great console for my nephew! He is expecting it for Christmas.

  
"
5.0 out of 5 stars,"









  
  
    
  Very nice! Something my whole family plays together!

  
"
1.0 out of 5 stars,"









  
  
    
  I ordered this item, as the box indicates it is a US version of the switch. However, I received an international JP version from the seller. The fan is having issues now, and Nintendo will not support because I have a USA address. So I am up a creek. Would recommend looking elsewhere and making sure you get the USA version!

  
"
5.0 out of 5 stars,"









  
  
    
  Great quality, perfect condition in box the kids love them.

  
"
5.0 out of 5 stars,"









  
  
    
  Perfect condition and arrived a week early! I absolutely love my switch! Such a fun and innovative console!

  
"
4.0 out of 5 stars,"









  
  
    
  Great console. Very fun. A little expensive but I'm happy with the buy.

  
"
